index,Customer ID,Recency,Frequency,Monetary,Cluster,Segment
0,12346.0,326,12,77556.46,1,Prometteurs 🌱
1,12347.0,2,8,4921.53,4,À Risque ⚠️
2,12348.0,75,5,2019.4,4,À Risque ⚠️
3,12349.0,19,4,4428.69,4,À Risque ⚠️
4,12350.0,310,1,334.4,0,Perdus 💤
5,12351.0,375,1,300.93,0,Perdus 💤
6,12352.0,36,10,2849.84,4,À Risque ⚠️
7,12353.0,204,2,406.76,4,À Risque ⚠️
8,12354.0,232,1,1079.4,4,À Risque ⚠️
9,12355.0,214,2,947.61,4,À Risque ⚠️
10,12356.0,23,6,6371.73,4,À Risque ⚠️
11,12357.0,33,3,18287.66,4,À Risque ⚠️
12,12358.0,2,5,3887.07,4,À Risque ⚠️
13,12359.0,58,10,8873.39,4,À Risque ⚠️
14,12360.0,52,8,4252.89,4,À Risque ⚠️
15,12361.0,287,4,511.25,0,Perdus 💤
16,12362.0,3,11,5356.23,4,À Risque ⚠️
17,12363.0,110,2,552.0,4,À Risque ⚠️
18,12364.0,8,4,1313.1,4,À Risque ⚠️
19,12365.0,291,2,641.38,0,Perdus 💤
20,12366.0,634,1,500.24,0,Perdus 💤
21,12367.0,4,1,168.9,4,À Risque ⚠️
22,12368.0,628,1,917.6999999999999,0,Perdus 💤
23,12369.0,413,3,1791.15,0,Perdus 💤
24,12370.0,51,7,4316.56,4,À Risque ⚠️
25,12371.0,45,5,4067.38,4,À Risque ⚠️
26,12372.0,72,3,1298.04,4,À Risque ⚠️
27,12373.0,311,3,1127.65,0,Perdus 💤
28,12374.0,25,4,2989.2200000000003,4,À Risque ⚠️
29,12375.0,11,2,457.5,4,À Risque ⚠️
30,12376.0,390,2,503.15,0,Perdus 💤
31,12377.0,315,4,3426.32,0,Perdus 💤
32,12378.0,130,2,5416.32,4,À Risque ⚠️
33,12379.0,82,4,1620.22,4,À Risque ⚠️
34,12380.0,22,11,9676.300000000001,4,À Risque ⚠️
35,12381.0,5,5,1845.31,4,À Risque ⚠️
36,12383.0,185,5,1850.56,4,À Risque ⚠️
37,12384.0,29,2,585.27,4,À Risque ⚠️
38,12385.0,379,1,1938.4,0,Perdus 💤
39,12386.0,338,2,401.9,0,Perdus 💤
40,12387.0,415,1,143.94,0,Perdus 💤
41,12388.0,16,8,3901.11,4,À Risque ⚠️
42,12389.0,403,3,1433.33,0,Perdus 💤
43,12390.0,80,1,549.84,4,À Risque ⚠️
44,12391.0,22,6,2724.84,4,À Risque ⚠️
45,12392.0,591,1,234.75000000000003,0,Perdus 💤
46,12393.0,72,6,2399.4500000000003,4,À Risque ⚠️
47,12394.0,64,2,1272.48,4,À Risque ⚠️
48,12395.0,19,15,4721.17,4,À Risque ⚠️
49,12396.0,674,1,931.43,0,Perdus 💤
50,12397.0,36,2,2409.9,4,À Risque ⚠️
51,12398.0,46,1,1635.6599999999999,4,À Risque ⚠️
52,12399.0,119,7,1962.3,4,À Risque ⚠️
53,12400.0,414,1,205.25,0,Perdus 💤
54,12401.0,303,1,84.3,0,Perdus 💤
55,12402.0,323,6,1256.9,0,Perdus 💤
56,12403.0,50,2,1019.36,4,À Risque ⚠️
57,12404.0,682,1,63.24,0,Perdus 💤
58,12405.0,149,1,1710.39,4,À Risque ⚠️
59,12406.0,22,5,6390.36,4,À Risque ⚠️
60,12407.0,50,5,1708.1200000000001,4,À Risque ⚠️
61,12408.0,33,8,4340.7699999999995,4,À Risque ⚠️
62,12409.0,79,7,23419.29,4,À Risque ⚠️
63,12410.0,309,3,1013.71,0,Perdus 💤
64,12411.0,410,1,346.9,0,Perdus 💤
65,12412.0,75,6,2596.93,4,À Risque ⚠️
66,12413.0,67,4,999.45,4,À Risque ⚠️
67,12414.0,217,6,952.41,4,À Risque ⚠️
68,12415.0,24,28,144458.37,2,Loyal Customers 🥈
69,12416.0,657,1,202.56,0,Perdus 💤
70,12417.0,3,20,6797.41,1,Prometteurs 🌱
71,12418.0,113,4,2021.2,4,À Risque ⚠️
72,12419.0,386,2,503.01,0,Perdus 💤
73,12420.0,64,1,600.39,4,À Risque ⚠️
74,12421.0,16,6,1098.6,4,À Risque ⚠️
75,12422.0,96,17,5231.8,4,À Risque ⚠️
76,12423.0,1,10,2622.39,4,À Risque ⚠️
77,12424.0,163,4,3340.03,4,À Risque ⚠️
78,12425.0,78,2,1741.41,4,À Risque ⚠️
79,12426.0,195,2,1345.21,4,À Risque ⚠️
80,12427.0,22,3,825.8,4,À Risque ⚠️
81,12428.0,26,9,7956.46,4,À Risque ⚠️
82,12429.0,9,8,6204.41,4,À Risque ⚠️
83,12430.0,43,1,256.4,4,À Risque ⚠️
84,12431.0,36,27,10432.22,1,Prometteurs 🌱
85,12432.0,43,5,5059.32,4,À Risque ⚠️
86,12433.0,1,10,16794.14,4,À Risque ⚠️
87,12434.0,85,3,1103.43,4,À Risque ⚠️
88,12435.0,80,6,13925.93,4,À Risque ⚠️
89,12436.0,100,1,509.01,4,À Risque ⚠️
90,12437.0,2,39,12683.4,1,Prometteurs 🌱
91,12438.0,14,2,2906.85,4,À Risque ⚠️
92,12439.0,683,2,1142.88,0,Perdus 💤
93,12440.0,462,2,859.2,0,Perdus 💤
94,12441.0,367,1,173.55,0,Perdus 💤
95,12442.0,3,1,172.06,4,À Risque ⚠️
96,12443.0,732,1,485.31,0,Perdus 💤
97,12444.0,21,5,5005.46,4,À Risque ⚠️
98,12445.0,22,2,434.98,4,À Risque ⚠️
99,12446.0,58,1,1002.3100000000001,4,À Risque ⚠️
100,12447.0,243,1,476.49,4,À Risque ⚠️
101,12448.0,44,1,449.45,4,À Risque ⚠️
102,12449.0,22,6,4835.89,4,À Risque ⚠️
103,12450.0,156,5,688.2,4,À Risque ⚠️
104,12451.0,11,8,12669.88,4,À Risque ⚠️
105,12452.0,17,2,430.57,4,À Risque ⚠️
106,12453.0,134,1,707.09,4,À Risque ⚠️
107,12454.0,56,5,16679.78,4,À Risque ⚠️
108,12455.0,73,10,5879.95,4,À Risque ⚠️
109,12456.0,44,3,3181.04,4,À Risque ⚠️
110,12457.0,66,8,2995.91,4,À Risque ⚠️
111,12458.0,71,4,1777.49,4,À Risque ⚠️
112,12459.0,605,1,454.36,0,Perdus 💤
113,12460.0,456,1,326.65,0,Perdus 💤
114,12461.0,94,2,826.88,4,À Risque ⚠️
115,12462.0,19,2,1189.59,4,À Risque ⚠️
116,12463.0,53,4,1344.78,4,À Risque ⚠️
117,12464.0,10,8,1212.05,4,À Risque ⚠️
118,12465.0,17,2,742.1899999999999,4,À Risque ⚠️
119,12466.0,682,1,56.73,0,Perdus 💤
120,12467.0,423,1,132.8,0,Perdus 💤
121,12468.0,188,5,3670.74,4,À Risque ⚠️
122,12469.0,523,2,3070.54,0,Perdus 💤
123,12470.0,690,1,211.95,0,Perdus 💤
124,12471.0,2,79,39918.19,1,Prometteurs 🌱
125,12472.0,32,19,16249.289999999999,1,Prometteurs 🌱
126,12473.0,29,5,3928.0499999999997,4,À Risque ⚠️
127,12474.0,17,31,12372.75,1,Prometteurs 🌱
128,12475.0,54,2,1149.64,4,À Risque ⚠️
129,12476.0,16,23,14083.91,1,Prometteurs 🌱
130,12477.0,23,9,20276.37,4,À Risque ⚠️
131,12478.0,4,1,680.99,4,À Risque ⚠️
132,12479.0,11,1,527.2,4,À Risque ⚠️
133,12480.0,28,7,5464.85,4,À Risque ⚠️
134,12481.0,23,15,12185.51,1,Prometteurs 🌱
135,12482.0,576,29,23691.4,0,Perdus 💤
136,12483.0,17,19,5097.18,1,Prometteurs 🌱
137,12484.0,33,12,6354.1,4,À Risque ⚠️
138,12485.0,529,1,708.1,0,Perdus 💤
139,12486.0,432,1,1037.28,0,Perdus 💤
140,12487.0,731,1,285.29999999999995,0,Perdus 💤
141,12488.0,10,3,1298.66,4,À Risque ⚠️
142,12489.0,336,1,334.93,0,Perdus 💤
143,12490.0,5,21,9823.64,1,Prometteurs 🌱
144,12491.0,39,1,460.40000000000003,4,À Risque ⚠️
145,12492.0,63,3,715.21,4,À Risque ⚠️
146,12493.0,166,2,433.74,4,À Risque ⚠️
147,12494.0,16,9,1815.27,4,À Risque ⚠️
148,12495.0,641,1,357.4,0,Perdus 💤
149,12496.0,620,2,45.34,0,Perdus 💤
150,12497.0,82,3,6248.5,4,À Risque ⚠️
151,12498.0,21,3,403.70000000000005,4,À Risque ⚠️
152,12499.0,560,1,393.72,0,Perdus 💤
153,12500.0,23,19,5955.21,1,Prometteurs 🌱
154,12501.0,337,1,2169.39,0,Perdus 💤
155,12502.0,96,5,3723.87,4,À Risque ⚠️
156,12503.0,584,1,1126.0,0,Perdus 💤
157,12504.0,18,4,779.05,4,À Risque ⚠️
158,12505.0,409,1,955.2,0,Perdus 💤
159,12506.0,233,1,73.5,4,À Risque ⚠️
160,12507.0,134,4,1844.06,4,À Risque ⚠️
161,12508.0,26,2,397.88,4,À Risque ⚠️
162,12509.0,284,1,176.5,0,Perdus 💤
163,12510.0,143,9,5178.02,4,À Risque ⚠️
164,12511.0,429,1,3084.02,0,Perdus 💤
165,12512.0,66,2,132.18,4,À Risque ⚠️
166,12513.0,113,1,612.29,4,À Risque ⚠️
167,12514.0,267,2,1597.76,4,À Risque ⚠️
168,12515.0,353,1,383.7,0,Perdus 💤
169,12516.0,78,4,2648.62,4,À Risque ⚠️
170,12517.0,28,5,2481.6,4,À Risque ⚠️
171,12518.0,1,5,2056.89,4,À Risque ⚠️
172,12519.0,64,2,716.54,4,À Risque ⚠️
173,12520.0,79,5,2634.26,4,À Risque ⚠️
174,12521.0,143,1,599.68,4,À Risque ⚠️
175,12522.0,39,2,192.72,4,À Risque ⚠️
176,12523.0,19,23,4352.35,1,Prometteurs 🌱
177,12524.0,9,17,11126.11,1,Prometteurs 🌱
178,12525.0,498,3,973.73,0,Perdus 💤
179,12526.0,1,3,1316.66,4,À Risque ⚠️
180,12527.0,82,5,735.51,4,À Risque ⚠️
181,12528.0,9,6,1933.48,4,À Risque ⚠️
182,12529.0,528,1,316.48,0,Perdus 💤
183,12530.0,60,9,3759.26,4,À Risque ⚠️
184,12531.0,15,2,1933.2,4,À Risque ⚠️
185,12532.0,30,1,349.83000000000004,4,À Risque ⚠️
186,12533.0,628,2,1367.89,0,Perdus 💤
187,12534.0,131,1,1089.18,4,À Risque ⚠️
188,12535.0,92,2,716.35,4,À Risque ⚠️
189,12536.0,43,3,12601.830000000002,4,À Risque ⚠️
190,12537.0,409,1,732.94,0,Perdus 💤
191,12538.0,29,2,640.45,4,À Risque ⚠️
192,12539.0,22,7,11214.75,4,À Risque ⚠️
193,12540.0,20,33,22254.49,1,Prometteurs 🌱
194,12541.0,30,3,981.18,4,À Risque ⚠️
195,12542.0,484,2,481.88,0,Perdus 💤
196,12543.0,448,1,980.25,0,Perdus 💤
197,12544.0,36,1,372.7,4,À Risque ⚠️
198,12545.0,75,2,1000.39,4,À Risque ⚠️
199,12546.0,47,2,1161.5,4,À Risque ⚠️
200,12547.0,198,3,383.58,4,À Risque ⚠️
201,12548.0,166,1,95.19999999999999,4,À Risque ⚠️
202,12549.0,576,6,1575.68,0,Perdus 💤
203,12550.0,79,1,964.83,4,À Risque ⚠️
204,12551.0,358,1,168.0,0,Perdus 💤
205,12552.0,39,2,437.82,4,À Risque ⚠️
206,12553.0,8,12,4608.75,4,À Risque ⚠️
207,12554.0,449,1,468.5,0,Perdus 💤
208,12555.0,682,1,129.23,0,Perdus 💤
209,12556.0,50,2,599.56,4,À Risque ⚠️
210,12557.0,16,8,18096.14,4,À Risque ⚠️
211,12558.0,8,1,269.96,4,À Risque ⚠️
212,12559.0,311,2,561.71,0,Perdus 💤
213,12560.0,5,3,2134.01,4,À Risque ⚠️
214,12561.0,303,1,238.85,0,Perdus 💤
215,12562.0,8,9,4966.92,4,À Risque ⚠️
216,12563.0,409,1,249.24,0,Perdus 💤
217,12564.0,261,1,456.9,4,À Risque ⚠️
218,12565.0,289,1,145.92,0,Perdus 💤
219,12566.0,86,1,351.65,4,À Risque ⚠️
220,12567.0,23,15,11767.48,1,Prometteurs 🌱
221,12568.0,645,1,70.0,0,Perdus 💤
222,12569.0,2,32,4124.69,1,Prometteurs 🌱
223,12570.0,682,1,77.52,0,Perdus 💤
